review,period,sentiment,ux_category,detail
다양한 레이아웃이랑 스티커가있었으면좋겠어요,04기,부정,꾸미기 기능 부족,스티커
다양한 레이아웃이랑 스티커가있었으면좋겠어요,04기,부정,꾸미기 기능 부족,레이아웃
제출날짜에 맞춰 제출하지 않는 친구들은 빼고 리워드를 지급하는게 공평하다고 생각합니다. 제 날짜에 맞춰 내는 친구들이 피해를 보는거 같아요 ,04기,부정,기타,기타
좀 더 다양하게 꾸밀 수 있었음 좋겠네용,04기,부정,기타,기타
앱 실행시 많은 시간이 소요되는 점이 조금 아쉽습니다.,04기,부정,앱 성능/안정성,속도
그리고 더 다양한 레이아웃과 꾸미는 부분이 많았으면 좋겠습니다,04기,부정,꾸미기 기능 부족,레이아웃
불편한점 없습니다~,04기,긍정,기타,기타
카메라 사진 눌렀을 때 로딩이 긴 경우가 있어요!,04기,부정,앱 성능/안정성,속도
영상업로드후 어플종료되는 문제는 해결되었어요~!,04기,긍정,앱 성능/안정성,앱멈춤
앱사용하면서 친구들과 소통하며 공감 할수있어서 좋았고 다양한 친구들의 동영상을 볼수있고 평생 간직하고 싶은 동영상을 저장해서 보고싶을때 계속 볼수있다는게 좋았어요. ,04기,긍정,기타,기타
좀더 다양한 꾸미기 기능이 나왔으면 좋을거같아요. ,04기,부정,기타,기타
영상에 노래삽입이 가능하면 좋을거같아요.,04기,부정,꾸미기 기능 부족,영상편집
스몰스 응원합니다~^^,04기,긍정,기타,기타
7주가되엇내용 시간빨라용 ㅠㅠ 항상 감사해용 울애기들 사진을 꾸밀수있게해주셔서 ㅎㅎ,04기,긍정,기타,기타
동영상꾸미기는안대나용,04기,부정,꾸미기 기능 부족,영상편집
꾸미기 란 글씨 입력이요ㅠ 글자수가 너무 조금 들어가서 다음 줄로 밀려 입력 되어요. 크기 자동으로 조절 되면 좋겠어요 ,04기,부정,꾸미기 기능 부족,텍스트
글자 입력할때 길게 쓰여졌으면 좋겠어요! 자동으로 다음줄로 내려가지 않게!!,04기,부정,꾸미기 기능 부족,텍스트
감사합니다,04기,긍정,기타,기타
레이아웃 더 많이 생겼으면 좋겠써용 ㅎㅎㅎ,04기,부정,꾸미기 기능 부족,레이아웃
영상 길이 자를 수 있으면 좋을 거 같아요!!!,04기,부정,꾸미기 기능 부족,영상편집
감사합니다 영상업러드 좀 되게해주세요 ㅠㅠ 올린줄알고 원본을 지워서 제출일이 늦어지고 다른영상으로 대체햇어요 퓨,04기,부정,기타,기타
발열이심한점!!,04기,부정,기타,기타
하지만 더더더 귀여워진 레이아웃과 스티커 최고예요!,04기,긍정,꾸미기 기능 부족,레이아웃
7주차 기간을 생각못하고 있었어용 ㅠㅠ 앞으로 밀리는 일 없이 잘 제출하도록 하겠습니당 !!,04기,긍정,기타,기타
감사합니다,04기,긍정,기타,기타
스몰스 조아요 >_<,04기,긍정,기타,기타
헉 벌써 마지막이라구요?! 시간 너무 빨라요 ㅠㅠ 스몰스에 귀여운 스티커로 추억저장하기 넘 좋았어요❤️,04기,긍정,기타,기타
감사합니다 ㅎㅎ,04기,긍정,기타,기타
어머 벌써 마지막인가요? 아쉬워요 ㅠㅠ♥️,04기,긍정,기타,기타
없아요>_<,04기,긍정,기타,기타
아쉬워용ㅜㅜ,04기,긍정,기타,기타
8주차 동안 스꾸친으로서 망고와 함께 즐거운 활동할 수 있어 좋았습니다♡ 꾸친 활동 덕분에 망고와 많은 추억을 쌓을 수 있었도 옛추억도 꺼내볼 수 있었네요 ㅎㅎ,04기,긍정,기타,기타
예전보다 다양해진 레이아웃과 스티커로 다양한 꾸미기가 가능해서 좋았지만,04기,긍정,기타,기타
조금 아쉬웠던 점은 레이아웃이나 스티커 업데이트 주기가 길어 아쉬웠습니다 ㅠㅠ ,04기,부정,꾸미기 기능 부족,스티커
영상도 업로드가 가능해졌으니 나중엔 영상 꾸미는 활동도 할 수 있었으면 좋을 것 같아요♡ 너무 고생많으셨습니다,04기,부정,꾸미기 기능 부족,영상편집
스몰스 화이팅♡♡,04기,긍정,기타,기타
감사합니다,04기,긍정,기타,기타
감사합니다!,04기,긍정,기타,기타
필터도 좀 더 다양해지면 좋을거 같아요^^ 안정화 화이팅!,04기,부정,기타,기타
"그동안 스몰스와 스꾸친 활동하며 인스타와는 다른 
제로의 일상 이야기를 꾸미는 것에 재미를 느꼈어요!",04기,긍정,기타,기타
"앞으로도 지금처럼 유저들의 목소리에 귀기울이고
꾸준한 업데이트 해주신다면
더 많은 유입이 있을 거라고 생각합니다!",04기,긍정,기타,기타
"게시물 업로드 후 렉이 자주 걸리는점,",04기,부정,앱 성능/안정성,앱멈춤
"스티커 회전하거나 크기 조절할때 미세한 조절이 어렵다는 점,",04기,부정,기타,기타
"피드에 다른 친구들 게시물이 최신순으로 뜨는게 아니라는 점
정도 입니다 :) 
제로 예쁘게 봐주셔서 정말 감사해요 ㅎㅎ",04기,부정,기타,기타
아쉬었던점은 벌써 마지막이라니ㅠ 그게젤아쉬워용ㅠㅠ ,04기,긍정,기타,기타
바라는점 없습니당!!,04기,긍정,기타,기타
동영상도 편집 기능 원해요!,04기,부정,꾸미기 기능 부족,영상편집
🤗,04기,긍정,기타,기타
"글씨 크기 한 줄 안으로 조절,",04기,부정,꾸미기 기능 부족,텍스트
로딩 시간이 긴거요!,04기,부정,앱 성능/안정성,속도
스몰스와 함께해서 행복했습니당!! 스몰스 관계자 분들 항상 건강하시고 꽃길먼 걸으셔용💗💗🫶🏻,04기,긍정,기타,기타
"다양한 레이아웃, 스티커 꾸미기가 꾸준히 업로드 되었으면 좋겠어요.",04기,부정,꾸미기 기능 부족,스티커
앱에 들어가면 모든 버튼이 안눌리면서 실행이 안될때가 자주 발생해요. 오류가 많이나서 조금 불편할때가 있었어요. ,04기,부정,앱 성능/안정성,앱멈춤
스꾸친 4기로 활동하면서 너무 즐겁고 행복했습니다.🥰 다양한 모습들을 공유하며 댕댕이 친구들과 소통하고 좋은시간을 가진거같아요. 앞으로도 스몰스에서 열심히 활동하며 주변 지인들에게도 소개 많이 할게요. 스몰스를 위해 열심히 일하시는 스몰스 모든 여러분들 항상 응원할게요. 더 좋은 더 발전하는 스몰스 모습도 기대할게요.😊😊😊,04기,긍정,기타,기타
추워진 날씨 감기 조심하세여 🤍,04기,긍정,기타,기타
그동안 정말 감사했습니당 스몰스랑 같이하게되어 행복했습니다 앞으로도 많이애용할게요 ㅎㅎㅎ,04기,긍정,기타,기타
감사했습니다! 주변에도 적극추천할게요!!,04기,긍정,기타,기타
마지막까지 감사드립니다!!,04기,긍정,기타,기타
고생하셨습니다,04기,긍정,기타,기타
동영상 소리없애는기능 혹은 꾸미기 기능,04기,부정,꾸미기 기능 부족,영상편집
감사합니다!,04기,긍정,기타,기타
동영상도 꾸밀 수 있었으면 좋겠네여~,04기,부정,꾸미기 기능 부족,영상편집
늦어서 죄송합니다,04기,긍정,기타,기타
너무너무 고생하셨습니다 🥺 이용하는 동안 불편했던 점이 많이 개선되는게 눈에 보여 불편함이 없습니다 :) ,04기,긍정,기타,기타
스티커가 더 다양해지면 좋겟어용,05기,부정,꾸미기 기능 부족,스티커
동영상도 저장되면너무좋을거같아요!,05기,부정,기록 경험 불편,공유
인스타에 홍보했어요! https://www.instagram.com/p/Cll5IGkyi3A/?igshid=MTg0ZDhmNDA=,05기,긍정,기타,기타
"텍스트에 볼드체, 기울기, 그림자 등등 텍스트를 다양하게 활용할 수 있음 좋겠어요~~",05기,부정,꾸미기 기능 부족,텍스트
혹시 저만 그런건지 모르겠는데 모든 기능들이 옆으로 안넘어가요ㅠ 예를들면 글자색 중 제일 끝에 파란색을 터치하면 그 옆 색만 터치가 되고 정말 신중히 터치해야만 파란색을 쓸 수 있어요ㅠㅠ편하게 옆으로 롤링이 됐으면 좋겠습니당,05기,부정,기타,기타
프레임이 좀더 눈에 덜 띄고 분위기 있는 종류도 있으면 좋을 것 같습니다! 제 개인적인 취향일 수도 있지만요:) 느낌있게 꾸밀 수 있는 프레임이 다양해지면 좋을 것 같아요!,05기,부정,꾸미기 기능 부족,레이아웃
"오산완, 두둥등장 처럼 확 꽂히는? 강렬한 레이아웃 더 생겼으면 좋겠어요 저도 고민해볼게용! 😍 ",05기,부정,꾸미기 기능 부족,레이아웃
스티커 볼하트나 귀모양 더 작게 됬으면 좋겟어요 일정크기 미만으로는 안줄여지더라구용! ,05기,부정,꾸미기 기능 부족,스티커
그리고 혹시 저를 좋아요 한 사람을 볼수있나요? 전 알람이 안떠서요 ㅠ,05기,부정,기록 경험 불편,알람
브러쉬같은걸로 글쓰거나 그림 그리는 기능도 좋을거 같아요!,05기,부정,기타,기타
까만화면 오류는 아직 있네요ㅠ(아이폰 12),05기,부정,앱 성능/안정성,앱멈춤
"스티커 레이아웃 기능은 다양한거 같아요. 저는 개인적으로 깔끔한거 선호하는편이라 잘 이용하지는 않지만 잘 활용하면 재미있는 사진 만들기 좋은거같아요!
스티커 레이아웃 필터들이 자주 업데이트 된다면 더 다양하게 만들수있을거같습니다!!",05기,부정,꾸미기 기능 부족,레이아웃
스티커가 조금만 더 다양했으면 좋겠어요. 그리고 스티커 줄이는게 조금 불편한것 같아요 ㅠㅠ,05기,부정,꾸미기 기능 부족,스티커
고양이필터가 더다양했음하구,05기,부정,꾸미기 기능 부족,레이아웃
동영상 자르는게 있음좋겠어요,05기,부정,꾸미기 기능 부족,영상편집
"업데이트 이후 동영상은 검은화면 안뜨는데, 사진은 여전히 검은화면이 뜹니다ㅠㅠ (기종 갤럭시노트20 울트라)",05기,부정,앱 성능/안정성,앱멈춤
중간임시저장 기능이 있었으면 좋겠습니다 ,05기,부정,기록 경험 불편,스토리작성
스티커가 다양했으면 좋겠어요 반짝스티커나 반투명스티커를 자주 사용하는데 아쉬워요,05기,부정,꾸미기 기능 부족,스티커
스티커 종류 중에 컨페티 종류 스티커가 생기면 좋을 것 같아요! 폴꾸 할 때 배경으로 깔고 꾸미기를 하는데 그런 스티커가 있으면 좋을 것 같아요,05기,부정,꾸미기 기능 부족,스티커
스티커가 더 다양했으면 좋겠어요1!,05기,부정,꾸미기 기능 부족,스티커
스티커랑 레이아웃 종류가 더 많으면 좋겠어요^^,05기,부정,꾸미기 기능 부족,스티커
스티커랑 레이아웃 종류가 더 많으면 좋겠어요^^,05기,부정,꾸미기 기능 부족,레이아웃
발전하고 있는 모습 좋아요 앞으로도 쭉 이용하고싶어요!,05기,긍정,기타,기타
스티커가 조금 더 다양했으면 좋겠습니당!,05기,부정,꾸미기 기능 부족,스티커
필터가 아직 댕댕이 위주인 것 같아요 냥이 용도 많이 개발해주세요 :),05기,부정,꾸미기 기능 부족,레이아웃
글씨 쓸 때 서체가 더 다양했으면 좋겠습니다 ,05기,부정,꾸미기 기능 부족,텍스트
텍스트박스 양쪽으로 늘리는게 아직 안되네요(몇글자쓰고 엔터쳐야함),05기,부정,꾸미기 기능 부족,텍스트
기능이 전반적으로 미흡,05기,부정,기타,기타
레이아웃.스티커,05기,부정,꾸미기 기능 부족,레이아웃
레이아웃.스티커,05기,부정,꾸미기 기능 부족,스티커
레이아웃에 합성?과 비슷한 꾸미기 있으면 더 재밌을것같아요 ㅎㅎ,05기,부정,꾸미기 기능 부족,레이아웃
다양한 스티커 원해요~특히 겨울시즌 스티커 업뎃해주세요~^^ 스티커 5개 이상 더 사용할수있으면 좋겠어요~스몰스 모든 분들 건강조심 감기조심하세요~^^,05기,부정,꾸미기 기능 부족,스티커
다양한 예쁜무늬로 되어있는 액자프레임도 있었으면좋겠어요~,05기,부정,꾸미기 기능 부족,레이아웃
버퍼링이 대체적으로 심해서 속도 개선이 필요해보입니다.,05기,부정,앱 성능/안정성,속도
더 다양한 꾸미기 나왔음 좋겠어요!!,05기,부정,기타,기타
스티커와 레이아웃이 더 많았으면 좋겠어요,05기,부정,꾸미기 기능 부족,스티커
스티커와 레이아웃이 더 많았으면 좋겠어요,05기,부정,꾸미기 기능 부족,레이아웃
좀 더 다양한 스티커가 있었으면 좋겠습니다 사용하긴 편한데 다양성이 없어서 좀 아쉬워요,05기,부정,꾸미기 기능 부족,스티커
그리고 알림에서 댓글 달렸다고 떴을때 누르면 바로 게시글로 갔으면 좋겠어요 댓글 보려면 게시글을 다 들어가봐야 해서 조금 불편해요 ,05기,부정,기록 경험 불편,알람
더 귀여운 스티커 마니마니 만들어쥬세요 ₍•͈ᴗ•͈₎ ,05기,부정,꾸미기 기능 부족,스티커
필터는 글리터나 필름같은 느낌이 생겼으면 좋겠고 레이아웃은 글자나 색상을 수정할 수 있으면 좋을 것 같아요~,05기,부정,꾸미기 기능 부족,레이아웃
스티커는 더 다양해졌음 좋겠어요!,05기,부정,꾸미기 기능 부족,스티커
크리스마스와 겨울에 맞는 레이아웃 스티커가 나왔으먼 좋겠어요! 필터는 좀 더 감성적인 것이 있었으면 좋겠어요!!,05기,부정,꾸미기 기능 부족,레이아웃
크리스마스와 겨울에 맞는 레이아웃 스티커가 나왔으먼 좋겠어요! 필터는 좀 더 감성적인 것이 있었으면 좋겠어요!!,05기,부정,꾸미기 기능 부족,스티커
사진 크기 조절 할수 있으면 좋겠어요 ㅎㅎ,05기,부정,기타,기타
삐약이가 요즘 컨디션이 안 좋더니 밥을 잘 안 먹어서 ㅠㅠ 밥 같이 먹는 제 손 먹방 영상 첨부합니다 ... 쓸 곳이 없어 여기에 작성해요 ㅠㅠ,05기,긍정,기타,기타
안늦고 잘 하겠습니다 ◡̈ ,05기,긍정,기타,기타
다양한스티커가많았으면좋겠어요! ,05기,부정,꾸미기 기능 부족,스티커
텍스트가 자동으로 안내려갔으면 좋겠어요ㅠㅠ,05기,부정,꾸미기 기능 부족,텍스트
동영상 편집기능!,05기,부정,꾸미기 기능 부족,영상편집
스티커 귀여운게 많아서 좋아요 :),05기,부정,꾸미기 기능 부족,영상편집
스티커가 다양하지 못해서 꾸미기 잘 안써요~,05기,부정,꾸미기 기능 부족,스티커
한주 한주가 지나면서 업로드하는것이 점점 더 재밌어집니다! 저의 반려묘 사진과 동영상들을 다시 찾아보는 시간도 갖게되었고 또 새로운 모습들을 사진과 영상으로 더 많이 남기게 되는 계기가 되었습니다! 행복한 시간들 더 많이 담아야겠다는 생각이 들었어요 이런 기회 주셔서 너무너무 감사합니다,05기,긍정,기타,기타
귀여운 기능이 많아서 좋아요:),05기,긍정,기타,기타
"겨울 시즌, 크리스마스 스티커나 레이아웃 나왔으면 좋겠어요!",05기,부정,꾸미기 기능 부족,스티커
"겨울 시즌, 크리스마스 스티커나 레이아웃 나왔으면 좋겠어요!",05기,부정,꾸미기 기능 부족,레이아웃
글자 길이가 가로로 길게 되었으면 좋겠어요! ☺️ 그리고 나에게 좋아요 누른 친구가 누군지 알수잇엇으면 좋겟어요!,05기,부정,꾸미기 기능 부족,텍스트
그리고 나에게 좋아요 누른 친구가 누군지 알수잇엇으면 좋겟어요!,05기,부정,기타,기타
오늘 사용하려고 했는데 자꾸 화면이 스몰스에서 멈추고 다음으로 넘어가지 않았습니다,05기,부정,앱 성능/안정성,앱멈춤
글씨체가 다양했으면 좋겠어요!,05기,부정,꾸미기 기능 부족,텍스트
스핑크스고양이 캐릭터는 언제 생길까요오-?,05기,부정,기록 경험 불편,묘종/견종추가
"스티커, 레이아웃이 더 다양하면 좋겟어오",05기,부정,꾸미기 기능 부족,스티커
"스티커, 레이아웃이 더 다양하면 좋겟어오",05기,부정,꾸미기 기능 부족,레이아웃
고양이 럭셔리 레이아웃만들어주에용,05기,부정,꾸미기 기능 부족,레이아웃
스티커가 계절별로 다양했음 좋겠습니다. 움직이는 스티커가 있으면 좀더 재밌을거같아요,05기,부정,꾸미기 기능 부족,스티커
여러장 한번에 올리는 기능도 있음 좋을거같아요 ,05기,부정,기록 경험 불편,스토리작성
고양이 관련 스티커가 추가되면 좋겠습니다!,05기,부정,꾸미기 기능 부족,스티커
영상에 프레임이나 스티커 넣는 기능이 추가되면 좋을것같아요^^,05기,부정,꾸미기 기능 부족,영상편집
카메라 연속촬영으로 잘나온 사진 선택할 수 있는 기능이 생기면 좋을 것 같아요~~ 동영상으로 움짤 만드는 기능도! ,05기,부정,꾸미기 기능 부족,영상편집
사진 꾸밀때 스티커 텍스트 넣은 순서대로 쌓이는게 좀 불편해요!나중에 꾸민것도 원하는대로 맨위로 올릴 수 있었으면 좋겠어요!,05기,부정,기타,기타
스티커가 다양했으면 좋겠어용,05기,부정,꾸미기 기능 부족,스티커
곧 연말이니 크리스마스나 새해 느낌 나는 레이아웃이나 스티커가 있었으면 좋겠습니다.,05기,부정,꾸미기 기능 부족,스티커
곧 연말이니 크리스마스나 새해 느낌 나는 레이아웃이나 스티커가 있었으면 좋겠습니다.,05기,부정,꾸미기 기능 부족,레이아웃
할로윈때처럼 시즌 레이아웃 스티커 좋았어요>.< 크리스마스 버전도 나오면 귀여울것같아요❤️🎄,05기,부정,꾸미기 기능 부족,레이아웃
레이아웃 추가되면 좋겠어요 ,05기,부정,꾸미기 기능 부족,레이아웃
스티커 5개 이상 사용이 안되는걸로 되는데 더 많이 사용가능했으면 좋겠어요~,05기,부정,꾸미기 기능 부족,스티커
사진 구도를 1:1 / 4:3 비율에 맞게 선택가능해서 레이아웃에 더 잘 맞았으면 좋겠어요~,05기,부정,기타,기타
전체적으로 재미있는 방향으로 꾸미기가 되어있어 좋지만 좀더 다양한 스티커와 레이아웃이 있으면 좋겠다고 늘 생각이들어요~그냥 사진을 올리는거보다 스몰스만의 느낌을 꾸미기기능을 사용해 사진에 담아 저장하는게 의미있고 좋은거같아요~,05기,부정,꾸미기 기능 부족,스티커
전체적으로 재미있는 방향으로 꾸미기가 되어있어 좋지만 좀더 다양한 스티커와 레이아웃이 있으면 좋겠다고 늘 생각이들어요~그냥 사진을 올리는거보다 스몰스만의 느낌을 꾸미기기능을 사용해 사진에 담아 저장하는게 의미있고 좋은거같아요~,05기,부정,꾸미기 기능 부족,레이아웃
즐거운앱만드시고 수정하시느라 늘 고생이많으세요~덕분에 재미있게 앱사용할 수 있어서 좋아요~감사합니다~ :) ,05기,긍정,기타,기타
독특한 레이아웃이 있어서 꾸미기 좋은 것 같습니다.,05기,긍정,꾸미기 기능 부족,레이아웃
레이아웃이랑 스티커가 더 많아지면 좋겠어요!!!,05기,부정,꾸미기 기능 부족,레이아웃
레이아웃이랑 스티커가 더 많아지면 좋겠어요!!!,05기,부정,꾸미기 기능 부족,스티커
스티커가 더 다양했으면 좋겠어요~,05기,부정,꾸미기 기능 부족,스티커
영상에도 자막을 넣을 수 있으면 좋겠어요~! ,05기,부정,꾸미기 기능 부족,영상편집
"그리고 필터 종류가 많긴한데 딱히 사용할 만한 필터는 없는것 같아요.. 필터보다는 레이아웃이 더 유용하게 사용되는 것 같아요, 더 재밌고 귀여운 레이아웃 많이 만들어 주세요~!",05기,부정,기타,기타
"필터보다는 레이아웃이 더 유용하게 사용되는 것 같아요, 더 재밌고 귀여운 레이아웃 많이 만들어 주세요~!",05기,부정,꾸미기 기능 부족,레이아웃
동영상 저장기능도 생겼으면 좋겠오용🍃✨,05기,부정,기록 경험 불편,공유
동영상 한개는 일정이 바빠 미처 하지 못했습니다 ㅠㅠ,05기,긍정,기타,기타
그림그리기 기능!,05기,부정,기타,기타
고양이 관련 스티커랑 레이아웃이 생겼으면 좋겠어요! 강아지에게 산책이 있듯이 고양이에게는 사냥놀이 시간이 매일 있어요! 그걸로 만들어 주셨으면 좋겠습니다!,05기,부정,꾸미기 기능 부족,레이아웃
고양이 관련 스티커랑 레이아웃이 생겼으면 좋겠어요! 강아지에게 산책이 있듯이 고양이에게는 사냥놀이 시간이 매일 있어요! 그걸로 만들어 주셨으면 좋겠습니다!,05기,부정,꾸미기 기능 부족,스티커
"캐릭터꾸미기,,,아직두안대여,,,🥹 ",05기,부정,꾸미기 기능 부족,캐릭터 꾸미기
스티커!!,05기,부정,꾸미기 기능 부족,스티커
레이아웃이 더 다양했으면 좋겠습니다.,05기,부정,꾸미기 기능 부족,레이아웃
그리고 제폰(갤럭시s10)에서는 아직도 가끔 까만화면증상이 있습니다ㅜ,05기,부정,앱 성능/안정성,앱멈춤
더 많은 레이아웃이 있으면 좋겠어요 인스타 필터 같은 !!,05기,부정,꾸미기 기능 부족,레이아웃
꾸미기 점점 잘 활용하고 있습니다!! ෆ 레이아웃도 편집이 가능하면 좋을거같아요!,05기,긍정,꾸미기 기능 부족,레이아웃
좋습니다!,05기,긍정,기타,기타
특색없이 심플한 레이아웃도 많으면 좋겠어요 ㅎㅎ,05기,부정,꾸미기 기능 부족,레이아웃
날이 추운데 스몰스 관계자 분들 모두 건강 조심하세요🙏,05기,긍정,기타,기타
하트 알람이 안떠용 ㅠㅠ 그리고 글씨 한줄에 쭉쓸수잇게 됫으면 좋겟어용!!,05기,부정,기타,기타
"캐릭터 꾸미기 아직두 안대오,,,😢 루돌프 빨간코 스티커 추가하면 좋을고같아요🥳",05기,부정,꾸미기 기능 부족,캐릭터 꾸미기
없음,05기,긍정,기타,기타
"말풍선에 직접 글을 쓸수 있는 기능이 있었음 좋겠습니다
레이아웃에 다수 사진을 넣을수 있었으면 좋겠습니다
",05기,부정,기타,기타
스몰스 사진 업로드 후 화질이 떨어지는게 아쉽습니다ㅠ,05기,부정,기타,기타
"글자를 일정 크기 이상 줄이면 2줄로 자동으로 바뀌는데, 줄바꿈을 제 마음대로 못해서 불편해요ㅠㅠ 긴 문장이어도 줄바꿈은 enter로만 바뀌면 좋을 것 같아요..",05기,부정,꾸미기 기능 부족,텍스트
스티커 추가된거 귀여워요 :),05기,긍정,꾸미기 기능 부족,스티커
필터가다양해져서 좋아요!,05기,긍정,기타,기타
.,05기,긍정,기타,기타
항상 잘 사용하고있습니다! 새 스티커와 레이아웃 넘 귀여워요!,05기,부정,꾸미기 기능 부족,스티커
스티커 중 크기조절이 더 작게 안되는것도 있는데(예-눈썹) 좀더 작게 조절가는했으면 좋겠어요~글자텍스트스티커도 많이 생겼으면 좋겠어요~겨울시즌 스티커 너무 귀여워요ㅎㅎ 많이 추운데 감기조심하시고 늘 감사합니다~: ),05기,부정,꾸미기 기능 부족,스티커
필터가 더 많앗으면 좋겟어용,05기,부정,기타,기타
글씨체가 다양했으면 좋겠습니다! ,05기,부정,꾸미기 기능 부족,텍스트
카메라 기능이 작동되지 않아 꾸미기 및 게시물 작성이 불가능했습니다. 오류 수정되는 대로 업로드하겠습니다.,05기,부정,기타,기타
말풍선 스티커 모양이 더 다양했으면 좋겠어요!,05기,부정,꾸미기 기능 부족,스티커
크리스마스 시즌 필터랑 스티커 너무 좋아요~! 자주자주 업데이트 되면 더 재밌을 것 같아용🙌🏻,05기,긍정,기타,기타
사진 올리려고 들어가면 카메라 뜨는 로딩 시간이 너무 길어요.. 들어갔다가 그냥 나오게 돼요,05기,부정,앱 성능/안정성,속도
영상이 안올라가서 캡쳐로 보내드립니다..!,05기,부정,기타,기타
효과주기 스티커가 너무 부족해요~,05기,부정,꾸미기 기능 부족,스티커
레이아웃도 좌우반전이 가능하면 좋을 것 같아요! 휴대전화 모양 레이아웃을 사용하고 싶은데 여백이 반대쪽이라 사용할 수가 없었어요!,05기,부정,꾸미기 기능 부족,레이아웃
감가합니다 ㅎㅎ,05기,긍정,기타,기타
"스티커가 한개도 안떠요!!! 
혹시 에러인가 싶어서 몇시간 기다리다
들어갔는데도 한개도 안뜨네욥 ㅠㅠ
아이폰12프로입니다",05기,부정,기타,기타
지금도 조아요,05기,긍정,기타,기타
영상이든 사진이든 올릴때 버벅거림이 심해요ㅜㅜ,05기,부정,앱 성능/안정성,속도
스티커 갯수가 5개까진데 더 늘려주실 수 있나욤🥹,05기,부정,꾸미기 기능 부족,스티커
동영상도 편집이 가능했으면 좋겠습니다,05기,부정,꾸미기 기능 부족,영상편집
이번에 추가된 스티커들 너모 기여어요💗,05기,긍정,꾸미기 기능 부족,스티커
레이아웃 더 많음 좋겠어용 늦어서 미안해용!,05기,부정,꾸미기 기능 부족,레이아웃
💕,05기,긍정,기타,기타
조금더 다양한 스티커가 많았으면좋겠어요!,05기,부정,꾸미기 기능 부족,스티커
없어요! 지금 좋아요^^,05기,긍정,기타,기타
감사합니다 ,05기,긍정,기타,기타
❤️❤️,05기,긍정,기타,기타
동영상 편집기능만 있다면 딱일거같아요!!,05기,부정,꾸미기 기능 부족,영상편집
없음,05기,긍정,기타,기타
사진 영상 업로드 시 댓글로 말고 내용도 쓸 수 있으면 좋겠어요,05기,부정,기록 경험 불편,스토리작성
화질...ㅜㅜ,05기,부정,기타,기타
2장이상 사진 업로드 방법 있음 좋겠어요,05기,부정,기타,기타
사진 업로드나 영상 업로드시간이 좀 오래 걸려요 ,05기,부정,앱 성능/안정성,속도
인형옷처럼 아기들 한테 씌울 수 있는 옷(?)이나 모자같은스티커가 좀더 다양했으면 좋겠습니다 ,05기,부정,꾸미기 기능 부족,스티커
메리크리스마스🎄,05기,긍정,기타,기타
영상 업로드가 좀 느려요ㅠㅠ,05기,부정,앱 성능/안정성,속도
글자 색상이 조금 더 다양했으면 좋겠어요~,05기,부정,꾸미기 기능 부족,텍스트
"몰리 캐릭터 꾸미기,,,,🥲 스티커 이제 새해니까 한복 추가해주세요-!!",05기,부정,꾸미기 기능 부족,스티커
스티커가 다양했으면 좋겠습니다 글꼴 또한 다양했으면 합니다,05기,부정,꾸미기 기능 부족,스티커
동영상 편집기능만 추가되면 좋을거같아요!,05기,부정,꾸미기 기능 부족,영상편집
텍스트 자동?줄넘어가는거 보완되었음 좋겠어용!!ㅎㅎ 꾸미기 최고 스몰스❤️❤️❤️,05기,부정,꾸미기 기능 부족,텍스트
말풍선 모양이 더 다양했으면 좋겠어요 지금 몇가지 없는 것 같습니다. 그리고 레이아웃도요~,05기,부정,꾸미기 기능 부족,스티커
넵!!,05기,긍정,기타,기타
영상 업로드할때 업로드 전 미리 재생해볼수 기능이 있었으면 좋겠어요.,05기,부정,꾸미기 기능 부족,영상편집
스티커 추가 하기..,05기,부정,꾸미기 기능 부족,스티커
스티커 5개이상 추가하기..,05기,부정,꾸미기 기능 부족,스티커
신년 흑토끼의 해라고 합니다! 토끼 관련 새해 스티커가 나오면 좋을 것 같아요 레이아웃두요!,05기,부정,꾸미기 기능 부족,스티커
스티커를 직접 만들어서 사용할수있는 기능도 생기면 좋은거같아요~,05기,부정,꾸미기 기능 부족,스티커
레이아웃 테마로 맥도날드 던킨 베스킨 같은 테마도 재미있을거같아요,05기,부정,기타,기타
반짝이는 무언가가 잇었으면 좋겠어요! 연말분위기에 맞게!!,05기,부정,꾸미기 기능 부족,스티커
:),05기,긍정,기타,기타
스티커가 다양했으면 싶어용,05기,부정,꾸미기 기능 부족,스티커
스티커 다양하면 좋겟어용,05기,부정,꾸미기 기능 부족,스티커
생일에 관련된 스티커나 레이아웃이 있었으면 좋겠습니다.,05기,부정,꾸미기 기능 부족,레이아웃
스티커는 조금 있긴 하지만 너무 부족한거 같습니다,05기,부정,꾸미기 기능 부족,스티커
어플 오류가 심하고 속도가 여전히 느립니다.,05기,부정,앱 성능/안정성,속도
영상 길이를 자르고편집하는기능이있었으면좋겠어요,05기,부정,꾸미기 기능 부족,영상편집
메리크리스마스입니당 ㅎㅎ,05기,긍정,기타,기타
없어용,05기,긍정,기타,기타
스티커부족 꾸미기 기능 불편,05기,부정,꾸미기 기능 부족,스티커
동영상도 스티커 달수있으면 좋을 것 같아요!!!!!,05기,부정,꾸미기 기능 부족,영상편집
스티커중 말풍선?? 도 많으면 좋겠습니다 ,05기,부정,꾸미기 기능 부족,스티커
글꼴도요 ㅎㅎ,05기,부정,꾸미기 기능 부족,텍스트
다양한 스티커 생겨서 좋아용💗🎄,05기,긍정,꾸미기 기능 부족,스티커
동영상이 안올라갑니다.,05기,부정,기타,기타
